Granularidade_Geografica;Categoria;Filtro;Localidade;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Brasil;Localidade;Total;Brasil;;;2013;0,168;%;5.5
Norte;Localidade;Total;Região;;;2013;0,206;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2013;0,204;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2013;0,236;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2013;0,167;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2013;0,127;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2013;0,227;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2013;0,172;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2013;0,207;%;5.5
Nordeste;Localidade;Total;Região;;;2013;0,266;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2013;0,275;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2013;0,299;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2013;0,258;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2013;0,244;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2013;0,307;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2013;0,236;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2013;0,289;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2013;0,271;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2013;0,269;%;5.5
Sudeste;Localidade;Total;Região;;;2013;0,118;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2013;0,17;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2013;0,148;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2013;0,1;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2013;0,099;%;5.5
Sul;Localidade;Total;Região;;;2013;0,124;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2013;0,154;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2013;0,097;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2013;0,112;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2013;0,149;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2013;0,173;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2013;0,167;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2013;0,159;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2013;0,084;%;5.5
Brasil;Localidade;Total;Brasil;;;2014;0,1592;%;5.5
Norte;Localidade;Total;Região;;;2014;0,197;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2014;0,224;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2014;0,236;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2014;0,161;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2014;0,123;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2014;0,213;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2014;0,147;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2014;0,192;%;5.5
Nordeste;Localidade;Total;Região;;;2014;0,2544;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2014;0,262;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2014;0,29;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2014;0,253;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2014;0,253;%;5.5
